,acuracia,percentualRuidoTreinamento
0,0.99609375,0.000
1,1.0,0.000
2,0.99609375,0.000
3,1.0,0.000
4,1.0,0.000
5,1.0,0.000
6,0.99609375,0.000
7,1.0,0.000
8,1.0,0.000
9,0.99609375,0.000
10,1.0,0.000
11,1.0,0.000
12,1.0,0.000
13,0.99609375,0.000
14,0.9921875,0.000
15,1.0,0.000
16,0.99609375,0.000
17,1.0,0.000
18,1.0,0.000
19,0.99609375,0.000
20,1.0,0.000
21,1.0,0.000
22,1.0,0.000
23,1.0,0.000
24,0.99609375,0.000
25,1.0,0.000
26,1.0,0.000
27,1.0,0.000
28,0.9921875,0.000
29,1.0,0.000
30,1.0,0.000
31,0.99609375,0.000
32,1.0,0.000
33,0.99609375,0.000
34,0.99609375,0.000
35,1.0,0.000
36,1.0,0.000
37,0.99609375,0.000
38,1.0,0.000
39,0.99609375,0.000
40,1.0,0.000
41,0.99609375,0.000
42,1.0,0.000
43,1.0,0.000
44,1.0,0.000
45,0.9921875,0.000
46,0.99609375,0.000
47,1.0,0.000
48,0.99609375,0.000
49,1.0,0.000
50,0.99609375,0.000
51,1.0,0.000
52,1.0,0.000
53,1.0,0.000
54,1.0,0.000
55,0.99609375,0.000
56,1.0,0.000
57,1.0,0.000
58,1.0,0.000
59,1.0,0.000
60,1.0,0.000
61,1.0,0.000
62,1.0,0.000
63,1.0,0.000
64,1.0,0.000
65,1.0,0.000
66,1.0,0.000
67,1.0,0.000
68,1.0,0.000
69,1.0,0.000
70,0.9921875,0.000
71,0.99609375,0.000
72,0.99609375,0.000
73,1.0,0.000
74,1.0,0.000
75,0.99609375,0.000
76,0.99609375,0.000
77,1.0,0.000
78,0.99609375,0.000
79,0.99609375,0.000
80,1.0,0.000
81,1.0,0.000
82,0.9921875,0.000
83,0.99609375,0.000
84,0.9921875,0.000
85,0.9921875,0.000
86,0.99609375,0.000
87,1.0,0.000
88,0.99609375,0.000
89,1.0,0.000
90,1.0,0.000
91,0.9921875,0.000
92,1.0,0.000
93,1.0,0.000
94,1.0,0.000
95,0.99609375,0.000
96,1.0,0.000
97,0.99609375,0.000
98,1.0,0.000
99,1.0,0.000
100,1.0,0.005
101,1.0,0.005
102,0.99609375,0.005
103,1.0,0.005
104,1.0,0.005
105,1.0,0.005
106,0.99609375,0.005
107,0.99609375,0.005
108,1.0,0.005
109,0.98828125,0.005
110,1.0,0.005
111,0.9921875,0.005
112,0.99609375,0.005
113,1.0,0.005
114,0.99609375,0.005
115,1.0,0.005
116,1.0,0.005
117,1.0,0.005
118,1.0,0.005
119,0.99609375,0.005
120,1.0,0.005
121,0.99609375,0.005
122,0.9921875,0.005
123,1.0,0.005
124,0.99609375,0.005
125,0.9921875,0.005
126,0.99609375,0.005
127,1.0,0.005
128,0.9921875,0.005
129,1.0,0.005
130,1.0,0.005
131,1.0,0.005
132,1.0,0.005
133,0.99609375,0.005
134,1.0,0.005
135,1.0,0.005
136,0.99609375,0.005
137,1.0,0.005
138,1.0,0.005
139,1.0,0.005
140,1.0,0.005
141,1.0,0.005
142,1.0,0.005
143,0.99609375,0.005
144,1.0,0.005
145,1.0,0.005
146,1.0,0.005
147,1.0,0.005
148,0.9921875,0.005
149,1.0,0.005
150,1.0,0.005
151,1.0,0.005
152,1.0,0.005
153,1.0,0.005
154,1.0,0.005
155,0.9921875,0.005
156,1.0,0.005
157,0.9921875,0.005
158,0.99609375,0.005
159,1.0,0.005
160,1.0,0.005
161,0.9921875,0.005
162,1.0,0.005
163,1.0,0.005
164,1.0,0.005
165,0.99609375,0.005
166,0.9921875,0.005
167,1.0,0.005
168,1.0,0.005
169,0.9921875,0.005
170,0.98828125,0.005
171,1.0,0.005
172,1.0,0.005
173,0.99609375,0.005
174,1.0,0.005
175,0.99609375,0.005
176,1.0,0.005
177,0.99609375,0.005
178,1.0,0.005
179,0.9921875,0.005
180,1.0,0.005
181,1.0,0.005
182,1.0,0.005
183,1.0,0.005
184,0.99609375,0.005
185,1.0,0.005
186,0.99609375,0.005
187,0.9921875,0.005
188,0.99609375,0.005
189,1.0,0.005
190,1.0,0.005
191,0.99609375,0.005
192,1.0,0.005
193,1.0,0.005
194,0.99609375,0.005
195,1.0,0.005
196,1.0,0.005
197,0.99609375,0.005
198,0.9921875,0.005
199,1.0,0.005
200,0.99609375,0.010
201,1.0,0.010
202,1.0,0.010
203,1.0,0.010
204,1.0,0.010
205,1.0,0.010
206,1.0,0.010
207,1.0,0.010
208,0.9921875,0.010
209,0.9921875,0.010
210,1.0,0.010
211,1.0,0.010
212,1.0,0.010
213,0.99609375,0.010
214,0.9921875,0.010
215,1.0,0.010
216,1.0,0.010
217,1.0,0.010
218,0.9921875,0.010
219,0.99609375,0.010
220,1.0,0.010
221,0.99609375,0.010
222,1.0,0.010
223,1.0,0.010
224,0.9921875,0.010
225,0.99609375,0.010
226,0.9921875,0.010
227,1.0,0.010
228,0.99609375,0.010
229,1.0,0.010
230,1.0,0.010
231,1.0,0.010
232,1.0,0.010
233,1.0,0.010
234,0.99609375,0.010
235,0.99609375,0.010
236,1.0,0.010
237,1.0,0.010
238,0.99609375,0.010
239,0.99609375,0.010
240,0.99609375,0.010
241,0.99609375,0.010
242,0.99609375,0.010
243,0.99609375,0.010
244,1.0,0.010
245,0.9921875,0.010
246,0.99609375,0.010
247,0.99609375,0.010
248,0.9921875,0.010
249,1.0,0.010
250,1.0,0.010
251,0.99609375,0.010
252,1.0,0.010
253,1.0,0.010
254,1.0,0.010
255,1.0,0.010
256,1.0,0.010
257,1.0,0.010
258,0.99609375,0.010
259,0.99609375,0.010
260,1.0,0.010
261,1.0,0.010
262,1.0,0.010
263,1.0,0.010
264,1.0,0.010
265,1.0,0.010
266,1.0,0.010
267,0.99609375,0.010
268,1.0,0.010
269,0.99609375,0.010
270,0.99609375,0.010
271,1.0,0.010
272,0.99609375,0.010
273,0.99609375,0.010
274,1.0,0.010
275,0.9921875,0.010
276,0.99609375,0.010
277,1.0,0.010
278,0.9921875,0.010
279,0.9921875,0.010
280,1.0,0.010
281,0.99609375,0.010
282,0.99609375,0.010
283,1.0,0.010
284,1.0,0.010
285,0.99609375,0.010
286,0.9921875,0.010
287,0.99609375,0.010
288,0.99609375,0.010
289,0.99609375,0.010
290,1.0,0.010
291,1.0,0.010
292,1.0,0.010
293,1.0,0.010
294,1.0,0.010
295,0.99609375,0.010
296,0.99609375,0.010
297,0.99609375,0.010
298,0.9921875,0.010
299,0.99609375,0.010
300,1.0,0.015
301,0.99609375,0.015
302,1.0,0.015
303,1.0,0.015
304,1.0,0.015
305,0.99609375,0.015
306,0.99609375,0.015
307,0.9921875,0.015
308,0.99609375,0.015
309,1.0,0.015
310,0.9921875,0.015
311,0.99609375,0.015
312,0.99609375,0.015
313,1.0,0.015
314,0.98828125,0.015
315,1.0,0.015
316,1.0,0.015
317,0.99609375,0.015
318,1.0,0.015
319,1.0,0.015
320,1.0,0.015
321,1.0,0.015
322,0.99609375,0.015
323,0.984375,0.015
324,1.0,0.015
325,0.9921875,0.015
326,0.98828125,0.015
327,0.99609375,0.015
328,0.99609375,0.015
329,1.0,0.015
330,0.99609375,0.015
331,1.0,0.015
332,1.0,0.015
333,0.99609375,0.015
334,1.0,0.015
335,1.0,0.015
336,0.99609375,0.015
337,0.9921875,0.015
338,0.99609375,0.015
339,1.0,0.015
340,1.0,0.015
341,0.9921875,0.015
342,0.99609375,0.015
343,1.0,0.015
344,0.99609375,0.015
345,1.0,0.015
346,0.9921875,0.015
347,0.99609375,0.015
348,0.99609375,0.015
349,0.99609375,0.015
350,1.0,0.015
351,0.99609375,0.015
352,0.98828125,0.015
353,1.0,0.015
354,0.9921875,0.015
355,1.0,0.015
356,0.9921875,0.015
357,1.0,0.015
358,0.98828125,0.015
359,1.0,0.015
360,0.99609375,0.015
361,1.0,0.015
362,0.99609375,0.015
363,0.99609375,0.015
364,0.99609375,0.015
365,1.0,0.015
366,1.0,0.015
367,1.0,0.015
368,0.99609375,0.015
369,1.0,0.015
370,0.99609375,0.015
371,1.0,0.015
372,1.0,0.015
373,0.99609375,0.015
374,1.0,0.015
375,1.0,0.015
376,1.0,0.015
377,1.0,0.015
378,1.0,0.015
379,1.0,0.015
380,0.99609375,0.015
381,0.99609375,0.015
382,1.0,0.015
383,1.0,0.015
384,0.99609375,0.015
385,0.99609375,0.015
386,1.0,0.015
387,0.99609375,0.015
388,0.99609375,0.015
389,0.99609375,0.015
390,0.99609375,0.015
391,1.0,0.015
392,0.9921875,0.015
393,0.99609375,0.015
394,0.99609375,0.015
395,0.99609375,0.015
396,0.9921875,0.015
397,0.9921875,0.015
398,0.99609375,0.015
399,0.99609375,0.015
400,0.98828125,0.020
401,1.0,0.020
402,1.0,0.020
403,0.9921875,0.020
404,0.99609375,0.020
405,0.99609375,0.020
406,0.9921875,0.020
407,0.99609375,0.020
408,0.9921875,0.020
409,1.0,0.020
410,0.99609375,0.020
411,0.99609375,0.020
412,1.0,0.020
413,0.99609375,0.020
414,0.99609375,0.020
415,0.99609375,0.020
416,0.9921875,0.020
417,1.0,0.020
418,0.99609375,0.020
419,1.0,0.020
420,1.0,0.020
421,0.99609375,0.020
422,1.0,0.020
423,0.99609375,0.020
424,1.0,0.020
425,1.0,0.020
426,0.99609375,0.020
427,0.99609375,0.020
428,0.984375,0.020
429,0.99609375,0.020
430,1.0,0.020
431,1.0,0.020
432,1.0,0.020
433,0.99609375,0.020
434,1.0,0.020
435,0.99609375,0.020
436,0.99609375,0.020
437,1.0,0.020
438,1.0,0.020
439,1.0,0.020
440,1.0,0.020
441,0.99609375,0.020
442,1.0,0.020
443,0.984375,0.020
444,0.9921875,0.020
445,1.0,0.020
446,0.99609375,0.020
447,0.99609375,0.020
448,0.99609375,0.020
449,0.9921875,0.020
450,0.99609375,0.020
451,1.0,0.020
452,0.9921875,0.020
453,0.99609375,0.020
454,0.9921875,0.020
455,1.0,0.020
456,0.99609375,0.020
457,0.99609375,0.020
458,0.9921875,0.020
459,0.99609375,0.020
460,0.9921875,0.020
461,0.99609375,0.020
462,1.0,0.020
463,0.99609375,0.020
464,0.99609375,0.020
465,1.0,0.020
466,0.99609375,0.020
467,0.99609375,0.020
468,0.9921875,0.020
469,1.0,0.020
470,0.99609375,0.020
471,0.98828125,0.020
472,1.0,0.020
473,0.99609375,0.020
474,0.9921875,0.020
475,1.0,0.020
476,0.9921875,0.020
477,1.0,0.020
478,0.9921875,0.020
479,1.0,0.020
480,1.0,0.020
481,1.0,0.020
482,0.99609375,0.020
483,1.0,0.020
484,0.99609375,0.020
485,0.99609375,0.020
486,1.0,0.020
487,1.0,0.020
488,1.0,0.020
489,1.0,0.020
490,1.0,0.020
491,1.0,0.020
492,1.0,0.020
493,1.0,0.020
494,1.0,0.020
495,0.99609375,0.020
496,0.99609375,0.020
497,0.9921875,0.020
498,1.0,0.020
499,0.9921875,0.020
500,0.99609375,0.025
501,0.99609375,0.025
502,0.9921875,0.025
503,0.9921875,0.025
504,1.0,0.025
505,1.0,0.025
506,0.99609375,0.025
507,0.99609375,0.025
508,0.9921875,0.025
509,0.99609375,0.025
510,0.984375,0.025
511,0.99609375,0.025
512,1.0,0.025
513,0.99609375,0.025
514,0.9921875,0.025
515,1.0,0.025
516,0.99609375,0.025
517,0.9921875,0.025
518,0.99609375,0.025
519,0.99609375,0.025
520,0.9921875,0.025
521,0.984375,0.025
522,1.0,0.025
523,1.0,0.025
524,0.9921875,0.025
525,0.98828125,0.025
526,0.98828125,0.025
527,0.98828125,0.025
528,1.0,0.025
529,0.9921875,0.025
530,0.9921875,0.025
531,0.9921875,0.025
532,1.0,0.025
533,1.0,0.025
534,0.98828125,0.025
535,0.99609375,0.025
536,0.99609375,0.025
537,0.98828125,0.025
538,0.99609375,0.025
539,0.99609375,0.025
540,1.0,0.025
541,0.99609375,0.025
542,1.0,0.025
543,0.99609375,0.025
544,0.99609375,0.025
545,0.99609375,0.025
546,1.0,0.025
547,0.99609375,0.025
548,0.99609375,0.025
549,0.99609375,0.025
550,0.99609375,0.025
551,0.98828125,0.025
552,0.984375,0.025
553,0.99609375,0.025
554,1.0,0.025
555,1.0,0.025
556,1.0,0.025
557,0.99609375,0.025
558,0.99609375,0.025
559,0.9921875,0.025
560,0.9921875,0.025
561,1.0,0.025
562,0.9921875,0.025
563,0.99609375,0.025
564,0.9921875,0.025
565,1.0,0.025
566,0.99609375,0.025
567,0.99609375,0.025
568,0.9921875,0.025
569,1.0,0.025
570,1.0,0.025
571,1.0,0.025
572,0.99609375,0.025
573,0.98828125,0.025
574,0.9921875,0.025
575,1.0,0.025
576,0.99609375,0.025
577,1.0,0.025
578,0.98828125,0.025
579,0.9921875,0.025
580,1.0,0.025
581,1.0,0.025
582,0.9921875,0.025
583,0.9921875,0.025
584,1.0,0.025
585,0.99609375,0.025
586,0.9921875,0.025
587,0.98828125,0.025
588,0.99609375,0.025
589,1.0,0.025
590,0.9921875,0.025
591,0.99609375,0.025
592,1.0,0.025
593,0.99609375,0.025
594,0.984375,0.025
595,1.0,0.025
596,0.99609375,0.025
597,0.99609375,0.025
598,1.0,0.025
599,0.984375,0.025
600,0.9921875,0.030
601,0.9921875,0.030
602,0.99609375,0.030
603,0.99609375,0.030
604,0.99609375,0.030
605,1.0,0.030
606,0.9921875,0.030
607,1.0,0.030
608,0.9921875,0.030
609,1.0,0.030
610,0.98828125,0.030
611,0.99609375,0.030
612,0.9921875,0.030
613,1.0,0.030
614,0.99609375,0.030
615,0.9921875,0.030
616,1.0,0.030
617,0.99609375,0.030
618,0.9921875,0.030
619,0.9921875,0.030
620,0.99609375,0.030
621,1.0,0.030
622,0.99609375,0.030
623,0.99609375,0.030
624,0.98046875,0.030
625,1.0,0.030
626,1.0,0.030
627,1.0,0.030
628,0.99609375,0.030
629,0.99609375,0.030
630,0.99609375,0.030
631,0.99609375,0.030
632,0.99609375,0.030
633,0.9921875,0.030
634,1.0,0.030
635,0.99609375,0.030
636,0.98828125,0.030
637,0.9921875,0.030
638,0.98046875,0.030
639,0.9921875,0.030
640,0.99609375,0.030
641,0.99609375,0.030
642,0.99609375,0.030
643,0.98046875,0.030
644,0.98828125,0.030
645,0.99609375,0.030
646,0.99609375,0.030
647,0.98828125,0.030
648,0.99609375,0.030
649,0.98828125,0.030
650,1.0,0.030
651,0.99609375,0.030
652,0.99609375,0.030
653,0.99609375,0.030
654,0.9921875,0.030
655,1.0,0.030
656,0.98828125,0.030
657,0.9921875,0.030
658,0.984375,0.030
659,0.984375,0.030
660,1.0,0.030
661,0.9921875,0.030
662,0.99609375,0.030
663,0.99609375,0.030
664,0.9921875,0.030
665,0.9921875,0.030
666,0.984375,0.030
667,0.99609375,0.030
668,0.99609375,0.030
669,0.9921875,0.030
670,0.99609375,0.030
671,0.98828125,0.030
672,0.9921875,0.030
673,0.99609375,0.030
674,0.9921875,0.030
675,1.0,0.030
676,0.99609375,0.030
677,0.99609375,0.030
678,0.99609375,0.030
679,0.9765625,0.030
680,0.9921875,0.030
681,1.0,0.030
682,0.99609375,0.030
683,0.99609375,0.030
684,0.9921875,0.030
685,0.9921875,0.030
686,0.9921875,0.030
687,0.98828125,0.030
688,0.9921875,0.030
689,0.9921875,0.030
690,0.9921875,0.030
691,0.9921875,0.030
692,1.0,0.030
693,0.99609375,0.030
694,0.9921875,0.030
695,0.9921875,0.030
696,1.0,0.030
697,0.99609375,0.030
698,0.99609375,0.030
699,0.98828125,0.030
