,Noise Level,Classifier,IndexRep,Accuracy
0,0.0,Random Forest,0,0.9921875
1,0.0,SVM (RBF),0,1.0
2,0.0,XGBoost,0,0.99609375
3,0.0,MLP,0,0.9296875
4,0.0,Random Forest,1,0.9765625
5,0.0,SVM (RBF),1,1.0
6,0.0,XGBoost,1,0.98828125
7,0.0,MLP,1,0.92578125
8,0.0,Random Forest,2,0.97265625
9,0.0,SVM (RBF),2,0.99609375
10,0.0,XGBoost,2,0.96875
11,0.0,MLP,2,0.93359375
12,0.0,Random Forest,3,0.9921875
13,0.0,SVM (RBF),3,1.0
14,0.0,XGBoost,3,0.98828125
15,0.0,MLP,3,0.94140625
16,0.0,Random Forest,4,0.96875
17,0.0,SVM (RBF),4,1.0
18,0.0,XGBoost,4,0.97265625
19,0.0,MLP,4,0.94921875
20,0.0,Random Forest,5,0.98828125
21,0.0,SVM (RBF),5,1.0
22,0.0,XGBoost,5,0.98828125
23,0.0,MLP,5,0.9375
24,0.0,Random Forest,6,0.9765625
25,0.0,SVM (RBF),6,1.0
26,0.0,XGBoost,6,0.9765625
27,0.0,MLP,6,0.93359375
28,0.0,Random Forest,7,0.984375
29,0.0,SVM (RBF),7,1.0
30,0.0,XGBoost,7,0.984375
31,0.0,MLP,7,0.9453125
32,0.0,Random Forest,8,0.98046875
33,0.0,SVM (RBF),8,1.0
34,0.0,XGBoost,8,0.99609375
35,0.0,MLP,8,0.9453125
36,0.0,Random Forest,9,0.9921875
37,0.0,SVM (RBF),9,0.99609375
38,0.0,XGBoost,9,0.98828125
39,0.0,MLP,9,0.90625
40,0.005037783375314861,Random Forest,0,0.984375
41,0.005037783375314861,SVM (RBF),0,1.0
42,0.005037783375314861,XGBoost,0,0.984375
43,0.005037783375314861,MLP,0,0.9375
44,0.005037783375314861,Random Forest,1,0.96875
45,0.005037783375314861,SVM (RBF),1,0.99609375
46,0.005037783375314861,XGBoost,1,0.98828125
47,0.005037783375314861,MLP,1,0.921875
48,0.005037783375314861,Random Forest,2,0.97265625
49,0.005037783375314861,SVM (RBF),2,0.99609375
50,0.005037783375314861,XGBoost,2,0.98828125
51,0.005037783375314861,MLP,2,0.93359375
52,0.005037783375314861,Random Forest,3,0.9765625
53,0.005037783375314861,SVM (RBF),3,0.99609375
54,0.005037783375314861,XGBoost,3,0.98828125
55,0.005037783375314861,MLP,3,0.91796875
56,0.005037783375314861,Random Forest,4,0.98828125
57,0.005037783375314861,SVM (RBF),4,0.9921875
58,0.005037783375314861,XGBoost,4,0.9765625
59,0.005037783375314861,MLP,4,0.94921875
60,0.005037783375314861,Random Forest,5,0.984375
61,0.005037783375314861,SVM (RBF),5,1.0
62,0.005037783375314861,XGBoost,5,0.98828125
63,0.005037783375314861,MLP,5,0.93359375
64,0.005037783375314861,Random Forest,6,0.9765625
65,0.005037783375314861,SVM (RBF),6,1.0
66,0.005037783375314861,XGBoost,6,0.98828125
67,0.005037783375314861,MLP,6,0.93359375
68,0.005037783375314861,Random Forest,7,0.98828125
69,0.005037783375314861,SVM (RBF),7,1.0
70,0.005037783375314861,XGBoost,7,0.99609375
71,0.005037783375314861,MLP,7,0.921875
72,0.005037783375314861,Random Forest,8,0.9765625
73,0.005037783375314861,SVM (RBF),8,0.99609375
74,0.005037783375314861,XGBoost,8,0.9765625
75,0.005037783375314861,MLP,8,0.92578125
76,0.005037783375314861,Random Forest,9,0.98046875
77,0.005037783375314861,SVM (RBF),9,1.0
78,0.005037783375314861,XGBoost,9,0.98046875
79,0.005037783375314861,MLP,9,0.57421875
80,0.010075566750629723,Random Forest,0,0.9765625
81,0.010075566750629723,SVM (RBF),0,1.0
82,0.010075566750629723,XGBoost,0,0.984375
83,0.010075566750629723,MLP,0,0.88671875
84,0.010075566750629723,Random Forest,1,0.9765625
85,0.010075566750629723,SVM (RBF),1,1.0
86,0.010075566750629723,XGBoost,1,0.98828125
87,0.010075566750629723,MLP,1,0.90625
88,0.010075566750629723,Random Forest,2,0.97265625
89,0.010075566750629723,SVM (RBF),2,1.0
90,0.010075566750629723,XGBoost,2,0.9765625
91,0.010075566750629723,MLP,2,0.88671875
92,0.010075566750629723,Random Forest,3,0.96484375
93,0.010075566750629723,SVM (RBF),3,0.99609375
94,0.010075566750629723,XGBoost,3,0.98046875
95,0.010075566750629723,MLP,3,0.921875
96,0.010075566750629723,Random Forest,4,0.96875
97,0.010075566750629723,SVM (RBF),4,1.0
98,0.010075566750629723,XGBoost,4,0.984375
99,0.010075566750629723,MLP,4,0.92578125
100,0.010075566750629723,Random Forest,5,0.984375
101,0.010075566750629723,SVM (RBF),5,0.99609375
102,0.010075566750629723,XGBoost,5,0.9921875
103,0.010075566750629723,MLP,5,0.90234375
104,0.010075566750629723,Random Forest,6,0.98046875
105,0.010075566750629723,SVM (RBF),6,0.99609375
106,0.010075566750629723,XGBoost,6,0.98046875
107,0.010075566750629723,MLP,6,0.9296875
108,0.010075566750629723,Random Forest,7,0.98046875
109,0.010075566750629723,SVM (RBF),7,0.99609375
110,0.010075566750629723,XGBoost,7,0.98828125
111,0.010075566750629723,MLP,7,0.9140625
112,0.010075566750629723,Random Forest,8,0.98828125
113,0.010075566750629723,SVM (RBF),8,1.0
114,0.010075566750629723,XGBoost,8,0.984375
115,0.010075566750629723,MLP,8,0.91796875
116,0.010075566750629723,Random Forest,9,0.96875
117,0.010075566750629723,SVM (RBF),9,0.99609375
118,0.010075566750629723,XGBoost,9,0.984375
119,0.010075566750629723,MLP,9,0.921875
120,0.015113350125944584,Random Forest,0,0.96484375
121,0.015113350125944584,SVM (RBF),0,1.0
122,0.015113350125944584,XGBoost,0,0.9609375
123,0.015113350125944584,MLP,0,0.91796875
124,0.015113350125944584,Random Forest,1,0.97265625
125,0.015113350125944584,SVM (RBF),1,1.0
126,0.015113350125944584,XGBoost,1,0.984375
127,0.015113350125944584,MLP,1,0.92578125
128,0.015113350125944584,Random Forest,2,0.96484375
129,0.015113350125944584,SVM (RBF),2,1.0
130,0.015113350125944584,XGBoost,2,0.96875
131,0.015113350125944584,MLP,2,0.9140625
132,0.015113350125944584,Random Forest,3,0.98046875
133,0.015113350125944584,SVM (RBF),3,1.0
134,0.015113350125944584,XGBoost,3,0.984375
135,0.015113350125944584,MLP,3,0.92578125
136,0.015113350125944584,Random Forest,4,0.9765625
137,0.015113350125944584,SVM (RBF),4,0.99609375
138,0.015113350125944584,XGBoost,4,0.96875
139,0.015113350125944584,MLP,4,0.90234375
140,0.015113350125944584,Random Forest,5,0.9609375
141,0.015113350125944584,SVM (RBF),5,1.0
142,0.015113350125944584,XGBoost,5,0.97265625
143,0.015113350125944584,MLP,5,0.90625
144,0.015113350125944584,Random Forest,6,0.9765625
145,0.015113350125944584,SVM (RBF),6,1.0
146,0.015113350125944584,XGBoost,6,0.984375
147,0.015113350125944584,MLP,6,0.89453125
148,0.015113350125944584,Random Forest,7,0.98046875
149,0.015113350125944584,SVM (RBF),7,0.99609375
150,0.015113350125944584,XGBoost,7,0.9921875
151,0.015113350125944584,MLP,7,0.93359375
152,0.015113350125944584,Random Forest,8,0.97265625
153,0.015113350125944584,SVM (RBF),8,0.99609375
154,0.015113350125944584,XGBoost,8,0.984375
155,0.015113350125944584,MLP,8,0.8984375
156,0.015113350125944584,Random Forest,9,0.9453125
157,0.015113350125944584,SVM (RBF),9,0.99609375
158,0.015113350125944584,XGBoost,9,0.96484375
159,0.015113350125944584,MLP,9,0.9375
160,0.020151133501259445,Random Forest,0,0.953125
161,0.020151133501259445,SVM (RBF),0,0.9921875
162,0.020151133501259445,XGBoost,0,0.9609375
163,0.020151133501259445,MLP,0,0.90234375
164,0.020151133501259445,Random Forest,1,0.9765625
165,0.020151133501259445,SVM (RBF),1,0.99609375
166,0.020151133501259445,XGBoost,1,0.9765625
167,0.020151133501259445,MLP,1,0.87109375
168,0.020151133501259445,Random Forest,2,0.953125
169,0.020151133501259445,SVM (RBF),2,0.99609375
170,0.020151133501259445,XGBoost,2,0.98046875
171,0.020151133501259445,MLP,2,0.87890625
172,0.020151133501259445,Random Forest,3,0.96484375
173,0.020151133501259445,SVM (RBF),3,0.9921875
174,0.020151133501259445,XGBoost,3,0.98046875
175,0.020151133501259445,MLP,3,0.9296875
176,0.020151133501259445,Random Forest,4,0.96484375
177,0.020151133501259445,SVM (RBF),4,1.0
178,0.020151133501259445,XGBoost,4,0.98828125
179,0.020151133501259445,MLP,4,0.93359375
180,0.020151133501259445,Random Forest,5,0.98046875
181,0.020151133501259445,SVM (RBF),5,0.99609375
182,0.020151133501259445,XGBoost,5,0.9921875
183,0.020151133501259445,MLP,5,0.90234375
184,0.020151133501259445,Random Forest,6,0.98046875
185,0.020151133501259445,SVM (RBF),6,0.984375
186,0.020151133501259445,XGBoost,6,0.98828125
187,0.020151133501259445,MLP,6,0.91015625
188,0.020151133501259445,Random Forest,7,0.984375
189,0.020151133501259445,SVM (RBF),7,1.0
190,0.020151133501259445,XGBoost,7,0.9921875
191,0.020151133501259445,MLP,7,0.90234375
192,0.020151133501259445,Random Forest,8,0.9609375
193,0.020151133501259445,SVM (RBF),8,1.0
194,0.020151133501259445,XGBoost,8,0.97265625
195,0.020151133501259445,MLP,8,0.86328125
196,0.020151133501259445,Random Forest,9,0.94921875
197,0.020151133501259445,SVM (RBF),9,0.9921875
198,0.020151133501259445,XGBoost,9,0.97265625
199,0.020151133501259445,MLP,9,0.9296875
200,0.02518891687657431,Random Forest,0,0.96484375
201,0.02518891687657431,SVM (RBF),0,0.9921875
202,0.02518891687657431,XGBoost,0,0.9921875
203,0.02518891687657431,MLP,0,0.875
204,0.02518891687657431,Random Forest,1,0.96484375
205,0.02518891687657431,SVM (RBF),1,0.99609375
206,0.02518891687657431,XGBoost,1,0.98046875
207,0.02518891687657431,MLP,1,0.890625
208,0.02518891687657431,Random Forest,2,0.96875
209,0.02518891687657431,SVM (RBF),2,0.9921875
210,0.02518891687657431,XGBoost,2,0.98046875
211,0.02518891687657431,MLP,2,0.90234375
212,0.02518891687657431,Random Forest,3,0.96484375
213,0.02518891687657431,SVM (RBF),3,0.9921875
214,0.02518891687657431,XGBoost,3,0.98046875
215,0.02518891687657431,MLP,3,0.91796875
216,0.02518891687657431,Random Forest,4,0.96484375
217,0.02518891687657431,SVM (RBF),4,1.0
218,0.02518891687657431,XGBoost,4,0.9921875
219,0.02518891687657431,MLP,4,0.88671875
220,0.02518891687657431,Random Forest,5,0.96875
221,0.02518891687657431,SVM (RBF),5,0.99609375
222,0.02518891687657431,XGBoost,5,0.984375
223,0.02518891687657431,MLP,5,0.9140625
224,0.02518891687657431,Random Forest,6,0.96875
225,0.02518891687657431,SVM (RBF),6,1.0
226,0.02518891687657431,XGBoost,6,0.9921875
227,0.02518891687657431,MLP,6,0.8828125
228,0.02518891687657431,Random Forest,7,0.953125
229,0.02518891687657431,SVM (RBF),7,1.0
230,0.02518891687657431,XGBoost,7,0.97265625
231,0.02518891687657431,MLP,7,0.859375
232,0.02518891687657431,Random Forest,8,0.96484375
233,0.02518891687657431,SVM (RBF),8,0.9921875
234,0.02518891687657431,XGBoost,8,0.984375
235,0.02518891687657431,MLP,8,0.8828125
236,0.02518891687657431,Random Forest,9,0.96875
237,0.02518891687657431,SVM (RBF),9,0.9921875
238,0.02518891687657431,XGBoost,9,0.9765625
239,0.02518891687657431,MLP,9,0.91015625
240,0.030226700251889168,Random Forest,0,0.96484375
241,0.030226700251889168,SVM (RBF),0,0.984375
242,0.030226700251889168,XGBoost,0,0.984375
243,0.030226700251889168,MLP,0,0.859375
244,0.030226700251889168,Random Forest,1,0.96484375
245,0.030226700251889168,SVM (RBF),1,1.0
246,0.030226700251889168,XGBoost,1,0.98828125
247,0.030226700251889168,MLP,1,0.8515625
248,0.030226700251889168,Random Forest,2,0.96484375
249,0.030226700251889168,SVM (RBF),2,0.99609375
250,0.030226700251889168,XGBoost,2,0.98828125
251,0.030226700251889168,MLP,2,0.859375
252,0.030226700251889168,Random Forest,3,0.96484375
253,0.030226700251889168,SVM (RBF),3,0.99609375
254,0.030226700251889168,XGBoost,3,0.984375
255,0.030226700251889168,MLP,3,0.9375
256,0.030226700251889168,Random Forest,4,0.9609375
257,0.030226700251889168,SVM (RBF),4,0.99609375
258,0.030226700251889168,XGBoost,4,0.96484375
259,0.030226700251889168,MLP,4,0.91015625
260,0.030226700251889168,Random Forest,5,0.96875
261,0.030226700251889168,SVM (RBF),5,0.9921875
262,0.030226700251889168,XGBoost,5,0.9765625
263,0.030226700251889168,MLP,5,0.91015625
264,0.030226700251889168,Random Forest,6,0.97265625
265,0.030226700251889168,SVM (RBF),6,0.9921875
266,0.030226700251889168,XGBoost,6,0.9921875
267,0.030226700251889168,MLP,6,0.92578125
268,0.030226700251889168,Random Forest,7,0.95703125
269,0.030226700251889168,SVM (RBF),7,0.9921875
270,0.030226700251889168,XGBoost,7,0.984375
271,0.030226700251889168,MLP,7,0.890625
272,0.030226700251889168,Random Forest,8,0.97265625
273,0.030226700251889168,SVM (RBF),8,0.99609375
274,0.030226700251889168,XGBoost,8,0.9921875
275,0.030226700251889168,MLP,8,0.90234375
276,0.030226700251889168,Random Forest,9,0.9765625
277,0.030226700251889168,SVM (RBF),9,0.99609375
278,0.030226700251889168,XGBoost,9,0.99609375
279,0.030226700251889168,MLP,9,0.90234375
280,0.03526448362720403,Random Forest,0,0.95703125
281,0.03526448362720403,SVM (RBF),0,0.99609375
282,0.03526448362720403,XGBoost,0,0.98046875
283,0.03526448362720403,MLP,0,0.890625
284,0.03526448362720403,Random Forest,1,0.96875
285,0.03526448362720403,SVM (RBF),1,0.9765625
286,0.03526448362720403,XGBoost,1,0.9921875
287,0.03526448362720403,MLP,1,0.89453125
288,0.03526448362720403,Random Forest,2,0.953125
289,0.03526448362720403,SVM (RBF),2,0.9921875
290,0.03526448362720403,XGBoost,2,0.9765625
291,0.03526448362720403,MLP,2,0.8671875
292,0.03526448362720403,Random Forest,3,0.96875
293,0.03526448362720403,SVM (RBF),3,0.98828125
294,0.03526448362720403,XGBoost,3,0.9765625
295,0.03526448362720403,MLP,3,0.87890625
296,0.03526448362720403,Random Forest,4,0.96875
297,0.03526448362720403,SVM (RBF),4,1.0
298,0.03526448362720403,XGBoost,4,0.984375
299,0.03526448362720403,MLP,4,0.89453125
300,0.03526448362720403,Random Forest,5,0.94921875
301,0.03526448362720403,SVM (RBF),5,1.0
302,0.03526448362720403,XGBoost,5,0.984375
303,0.03526448362720403,MLP,5,0.90234375
304,0.03526448362720403,Random Forest,6,0.9609375
305,0.03526448362720403,SVM (RBF),6,1.0
306,0.03526448362720403,XGBoost,6,1.0
307,0.03526448362720403,MLP,6,0.91796875
308,0.03526448362720403,Random Forest,7,0.94140625
309,0.03526448362720403,SVM (RBF),7,1.0
310,0.03526448362720403,XGBoost,7,0.97265625
311,0.03526448362720403,MLP,7,0.91796875
312,0.03526448362720403,Random Forest,8,0.96484375
313,0.03526448362720403,SVM (RBF),8,0.984375
314,0.03526448362720403,XGBoost,8,0.984375
315,0.03526448362720403,MLP,8,0.86328125
316,0.03526448362720403,Random Forest,9,0.9609375
317,0.03526448362720403,SVM (RBF),9,1.0
318,0.03526448362720403,XGBoost,9,0.9921875
319,0.03526448362720403,MLP,9,0.87890625
320,0.04030226700251889,Random Forest,0,0.94921875
321,0.04030226700251889,SVM (RBF),0,0.99609375
322,0.04030226700251889,XGBoost,0,0.97265625
323,0.04030226700251889,MLP,0,0.86328125
324,0.04030226700251889,Random Forest,1,0.9453125
325,0.04030226700251889,SVM (RBF),1,0.9921875
326,0.04030226700251889,XGBoost,1,0.98046875
327,0.04030226700251889,MLP,1,0.859375
328,0.04030226700251889,Random Forest,2,0.953125
329,0.04030226700251889,SVM (RBF),2,0.99609375
330,0.04030226700251889,XGBoost,2,0.98046875
331,0.04030226700251889,MLP,2,0.86328125
332,0.04030226700251889,Random Forest,3,0.95703125
333,0.04030226700251889,SVM (RBF),3,0.99609375
334,0.04030226700251889,XGBoost,3,0.98828125
335,0.04030226700251889,MLP,3,0.87890625
336,0.04030226700251889,Random Forest,4,0.953125
337,0.04030226700251889,SVM (RBF),4,0.9921875
338,0.04030226700251889,XGBoost,4,0.98046875
339,0.04030226700251889,MLP,4,0.8828125
340,0.04030226700251889,Random Forest,5,0.9453125
341,0.04030226700251889,SVM (RBF),5,1.0
342,0.04030226700251889,XGBoost,5,0.96875
343,0.04030226700251889,MLP,5,0.8671875
344,0.04030226700251889,Random Forest,6,0.94140625
345,0.04030226700251889,SVM (RBF),6,0.99609375
346,0.04030226700251889,XGBoost,6,0.98828125
347,0.04030226700251889,MLP,6,0.8984375
348,0.04030226700251889,Random Forest,7,0.97265625
349,0.04030226700251889,SVM (RBF),7,0.99609375
350,0.04030226700251889,XGBoost,7,0.98828125
351,0.04030226700251889,MLP,7,0.8984375
352,0.04030226700251889,Random Forest,8,0.953125
353,0.04030226700251889,SVM (RBF),8,1.0
354,0.04030226700251889,XGBoost,8,0.98828125
355,0.04030226700251889,MLP,8,0.9140625
356,0.04030226700251889,Random Forest,9,0.9609375
357,0.04030226700251889,SVM (RBF),9,0.9921875
358,0.04030226700251889,XGBoost,9,0.96875
359,0.04030226700251889,MLP,9,0.8203125
