,Noise Level,Classifier,IndexRep,Accuracy
0,0.0,Random Forest,0,0.99609375
1,0.0,SVM (RBF),0,0.9765625
2,0.0,XGBoost,0,0.98828125
3,0.0,MLP,0,0.80859375
4,0.0,Random Forest,1,0.96484375
5,0.0,SVM (RBF),1,0.95703125
6,0.0,XGBoost,1,0.97265625
7,0.0,MLP,1,0.88671875
8,0.0,Random Forest,2,0.98828125
9,0.0,SVM (RBF),2,0.94140625
10,0.0,XGBoost,2,0.98046875
11,0.0,MLP,2,0.875
12,0.0,Random Forest,3,0.99609375
13,0.0,SVM (RBF),3,0.984375
14,0.0,XGBoost,3,0.9921875
15,0.0,MLP,3,0.8515625
16,0.0,Random Forest,4,0.98828125
17,0.0,SVM (RBF),4,0.9609375
18,0.0,XGBoost,4,0.984375
19,0.0,MLP,4,0.8828125
20,0.0,Random Forest,5,0.96875
21,0.0,SVM (RBF),5,0.95703125
22,0.0,XGBoost,5,0.95703125
23,0.0,MLP,5,0.8984375
24,0.007556675062972292,Random Forest,0,0.99609375
25,0.007556675062972292,SVM (RBF),0,0.96484375
26,0.007556675062972292,XGBoost,0,0.97265625
27,0.007556675062972292,MLP,0,0.87109375
28,0.007556675062972292,Random Forest,1,0.98828125
29,0.007556675062972292,SVM (RBF),1,0.96875
30,0.007556675062972292,XGBoost,1,0.984375
31,0.007556675062972292,MLP,1,0.88671875
32,0.007556675062972292,Random Forest,2,0.97265625
33,0.007556675062972292,SVM (RBF),2,0.95703125
34,0.007556675062972292,XGBoost,2,0.953125
35,0.007556675062972292,MLP,2,0.86328125
36,0.007556675062972292,Random Forest,3,0.98046875
37,0.007556675062972292,SVM (RBF),3,0.96484375
38,0.007556675062972292,XGBoost,3,0.96484375
39,0.007556675062972292,MLP,3,0.83984375
40,0.007556675062972292,Random Forest,4,0.98046875
41,0.007556675062972292,SVM (RBF),4,0.953125
42,0.007556675062972292,XGBoost,4,0.96484375
43,0.007556675062972292,MLP,4,0.89453125
44,0.007556675062972292,Random Forest,5,0.984375
45,0.007556675062972292,SVM (RBF),5,0.9765625
46,0.007556675062972292,XGBoost,5,0.95703125
47,0.007556675062972292,MLP,5,0.8671875
48,0.017632241813602016,Random Forest,0,0.984375
49,0.017632241813602016,SVM (RBF),0,0.9609375
50,0.017632241813602016,XGBoost,0,0.9453125
51,0.017632241813602016,MLP,0,0.8125
52,0.017632241813602016,Random Forest,1,0.97265625
53,0.017632241813602016,SVM (RBF),1,0.96875
54,0.017632241813602016,XGBoost,1,0.95703125
55,0.017632241813602016,MLP,1,0.875
56,0.017632241813602016,Random Forest,2,0.984375
57,0.017632241813602016,SVM (RBF),2,0.96875
58,0.017632241813602016,XGBoost,2,0.953125
59,0.017632241813602016,MLP,2,0.7734375
60,0.017632241813602016,Random Forest,3,1.0
61,0.017632241813602016,SVM (RBF),3,0.98046875
62,0.017632241813602016,XGBoost,3,0.96484375
63,0.017632241813602016,MLP,3,0.875
64,0.017632241813602016,Random Forest,4,0.98828125
65,0.017632241813602016,SVM (RBF),4,0.97265625
66,0.017632241813602016,XGBoost,4,0.94140625
67,0.017632241813602016,MLP,4,0.8828125
68,0.017632241813602016,Random Forest,5,0.9921875
69,0.017632241813602016,SVM (RBF),5,0.9765625
70,0.017632241813602016,XGBoost,5,0.95703125
71,0.017632241813602016,MLP,5,0.8125
72,0.02518891687657431,Random Forest,0,0.9921875
73,0.02518891687657431,SVM (RBF),0,0.97265625
74,0.02518891687657431,XGBoost,0,0.94921875
75,0.02518891687657431,MLP,0,0.75390625
76,0.02518891687657431,Random Forest,1,0.98828125
77,0.02518891687657431,SVM (RBF),1,0.95703125
78,0.02518891687657431,XGBoost,1,0.94140625
79,0.02518891687657431,MLP,1,0.83203125
80,0.02518891687657431,Random Forest,2,0.98828125
81,0.02518891687657431,SVM (RBF),2,0.9765625
82,0.02518891687657431,XGBoost,2,0.953125
83,0.02518891687657431,MLP,2,0.47265625
84,0.02518891687657431,Random Forest,3,0.9921875
85,0.02518891687657431,SVM (RBF),3,0.95703125
86,0.02518891687657431,XGBoost,3,0.9609375
87,0.02518891687657431,MLP,3,0.86328125
88,0.02518891687657431,Random Forest,4,0.9921875
89,0.02518891687657431,SVM (RBF),4,0.95703125
90,0.02518891687657431,XGBoost,4,0.94140625
91,0.02518891687657431,MLP,4,0.84375
92,0.02518891687657431,Random Forest,5,0.9921875
93,0.02518891687657431,SVM (RBF),5,0.98046875
94,0.02518891687657431,XGBoost,5,0.9453125
95,0.02518891687657431,MLP,5,0.8515625
96,0.03526448362720403,Random Forest,0,0.9921875
97,0.03526448362720403,SVM (RBF),0,0.97265625
98,0.03526448362720403,XGBoost,0,0.9453125
99,0.03526448362720403,MLP,0,0.78515625
100,0.03526448362720403,Random Forest,1,0.98828125
101,0.03526448362720403,SVM (RBF),1,0.97265625
102,0.03526448362720403,XGBoost,1,0.94140625
103,0.03526448362720403,MLP,1,0.8515625
104,0.03526448362720403,Random Forest,2,0.99609375
105,0.03526448362720403,SVM (RBF),2,0.95703125
106,0.03526448362720403,XGBoost,2,0.94140625
107,0.03526448362720403,MLP,2,0.73046875
108,0.03526448362720403,Random Forest,3,0.984375
109,0.03526448362720403,SVM (RBF),3,0.9609375
110,0.03526448362720403,XGBoost,3,0.93359375
111,0.03526448362720403,MLP,3,0.82421875
112,0.03526448362720403,Random Forest,4,0.98046875
113,0.03526448362720403,SVM (RBF),4,0.9453125
114,0.03526448362720403,XGBoost,4,0.9375
115,0.03526448362720403,MLP,4,0.8359375
116,0.03526448362720403,Random Forest,5,0.98828125
117,0.03526448362720403,SVM (RBF),5,0.9765625
118,0.03526448362720403,XGBoost,5,0.93359375
119,0.03526448362720403,MLP,5,0.8671875
120,0.042821158690176324,Random Forest,0,0.9609375
121,0.042821158690176324,SVM (RBF),0,0.96484375
122,0.042821158690176324,XGBoost,0,0.90625
123,0.042821158690176324,MLP,0,0.8359375
124,0.042821158690176324,Random Forest,1,0.984375
125,0.042821158690176324,SVM (RBF),1,0.9765625
