,Noise Level,Classifier,IndexRep,Accuracy
0,0.0,Random Forest,0,0.98828125
1,0.0,SVM (RBF),0,0.9453125
2,0.0,XGBoost,0,0.96875
3,0.0,MLP,0,0.8046875
4,0.0,Random Forest,1,0.97265625
5,0.0,SVM (RBF),1,0.96875
6,0.0,XGBoost,1,0.97265625
7,0.0,MLP,1,0.86328125
8,0.0,Random Forest,2,0.96484375
9,0.0,SVM (RBF),2,0.9375
10,0.0,XGBoost,2,0.953125
11,0.0,MLP,2,0.80859375
12,0.0,Random Forest,3,0.9921875
13,0.0,SVM (RBF),3,0.953125
14,0.0,XGBoost,3,0.96875
15,0.0,MLP,3,0.90234375
16,0.0,Random Forest,4,0.98046875
17,0.0,SVM (RBF),4,0.9609375
18,0.0,XGBoost,4,0.9765625
19,0.0,MLP,4,0.85546875
20,0.0,Random Forest,5,0.97265625
21,0.0,SVM (RBF),5,0.9609375
22,0.0,XGBoost,5,0.96484375
23,0.0,MLP,5,0.73828125
24,0.0,Random Forest,6,0.984375
25,0.0,SVM (RBF),6,0.96484375
26,0.0,XGBoost,6,0.96875
27,0.0,MLP,6,0.8984375
28,0.0,Random Forest,7,0.9921875
29,0.0,SVM (RBF),7,0.9609375
30,0.0,XGBoost,7,0.98828125
31,0.0,MLP,7,0.8671875
32,0.0,Random Forest,8,0.98828125
33,0.0,SVM (RBF),8,0.96875
34,0.0,XGBoost,8,0.9765625
35,0.0,MLP,8,0.890625
36,0.0,Random Forest,9,0.98046875
37,0.0,SVM (RBF),9,0.9453125
38,0.0,XGBoost,9,0.984375
39,0.0,MLP,9,0.90234375
40,0.0,Random Forest,0,0.99609375
41,0.0,SVM (RBF),0,0.984375
42,0.0,XGBoost,0,0.984375
43,0.0,MLP,0,0.91796875
44,0.0,Random Forest,1,0.984375
45,0.0,SVM (RBF),1,0.9609375
46,0.0,XGBoost,1,0.97265625
47,0.0,MLP,1,0.8671875
48,0.0,Random Forest,2,0.98828125
49,0.0,SVM (RBF),2,0.94921875
50,0.0,XGBoost,2,0.96875
51,0.0,MLP,2,0.8515625
52,0.0,Random Forest,3,0.97265625
53,0.0,SVM (RBF),3,0.95703125
54,0.0,XGBoost,3,0.9765625
55,0.0,MLP,3,0.875
56,0.0,Random Forest,4,0.984375
57,0.0,SVM (RBF),4,0.96875
58,0.0,XGBoost,4,0.98046875
59,0.0,MLP,4,0.90234375
60,0.0,Random Forest,5,0.98046875
61,0.0,SVM (RBF),5,0.9609375
62,0.0,XGBoost,5,0.98046875
63,0.0,MLP,5,0.87890625
64,0.0,Random Forest,6,0.99609375
65,0.0,SVM (RBF),6,0.9765625
66,0.0,XGBoost,6,0.98046875
67,0.0,MLP,6,0.89453125
68,0.0,Random Forest,7,0.98046875
69,0.0,SVM (RBF),7,0.98828125
70,0.0,XGBoost,7,0.96875
71,0.0,MLP,7,0.87109375
72,0.0,Random Forest,8,0.98828125
73,0.0,SVM (RBF),8,0.95703125
74,0.0,XGBoost,8,0.96484375
75,0.0,MLP,8,0.85546875
76,0.0,Random Forest,9,0.9765625
77,0.0,SVM (RBF),9,0.96875
78,0.0,XGBoost,9,0.9765625
79,0.0,MLP,9,0.796875
80,0.005,Random Forest,0,0.99609375
81,0.005,SVM (RBF),0,0.984375
82,0.005,XGBoost,0,0.984375
83,0.005,MLP,0,0.8828125
84,0.005,Random Forest,1,0.98828125
85,0.005,SVM (RBF),1,0.97265625
86,0.005,XGBoost,1,0.97265625
87,0.005,MLP,1,0.8828125
88,0.005,Random Forest,2,0.9921875
89,0.005,SVM (RBF),2,0.96875
90,0.005,XGBoost,2,0.984375
91,0.005,MLP,2,0.87890625
92,0.005,Random Forest,3,0.98828125
93,0.005,SVM (RBF),3,0.97265625
94,0.005,XGBoost,3,0.96484375
95,0.005,MLP,3,0.87109375
96,0.005,Random Forest,4,0.98046875
