"PercentualRuidoTreinamento","Repeticoes","Poder"
"0",6,0.830349097106519
"0.005",6,0.830349097106519
"0.0101",6,0.830349097106519
"0.0151",6,0.830349097106519
"0.0202",6,0.830349097106519
"0.0252",6,0.830349097106519
"0.0302",6,0.830349097106519
"0.0353",6,0.830349097106519
"0.0403",6,0.830349097106519
"0.0453",6,0.830349097106519
"0.0504",6,0.830349097106519
"0.0554",6,0.830349097106519
"0.0605",6,0.830349097106519
"0.0655",6,0.830349097106519
"0.0705",6,0.830349097106519
"0.0756",6,0.830349097106519
"0.0806",6,0.830349097106519
"0.0856",6,0.830349097106519
"0.0907",6,0.830349097106519
"0.0957",6,0.830349097106519
"0.1008",6,0.830349097106519
"0.1058",6,0.830349097106519
"0.1108",6,0.830349097106519
"0.1159",6,0.830349097106519
"0.1209",6,0.830349097106519
"0.1259",6,0.830349097106519
"0.131",6,0.830349097106519
"0.136",6,0.830349097106519
"0.1411",6,0.830349097106519
"0.1461",6,0.830349097106519
"0.1511",6,0.830349097106519
"0.1562",6,0.830349097106519
"0.1612",6,0.830349097106519
"0.1662",6,0.830349097106519
"0.1713",6,0.830349097106519
"0.1763",6,0.830349097106519
"0.1814",6,0.830349097106519
"0.1864",6,0.830349097106519
"0.1914",6,0.830349097106519
"0.1965",6,0.830349097106519
"0.2015",6,0.830349097106519
"0.2065",6,0.830349097106519
"0.2116",6,0.830349097106519
"0.2166",6,0.830349097106519
"0.2217",6,0.830349097106519
"0.2267",6,0.830349097106519
"0.2317",6,0.830349097106519
"0.2368",6,0.830349097106519
"0.2418",6,0.830349097106519
"0.2469",6,0.830349097106519
"0.2519",6,0.830349097106519
"0.2569",6,0.830349097106519
"0.262",6,0.830349097106519
