,Noise Level,Classifier,IndexRep,Accuracy
0,0.0,Random Forest,0,0.98828125
1,0.0,SVM (RBF),0,0.9609375
2,0.0,XGBoost,0,0.9921875
3,0.0,MLP,0,0.87890625
4,0.0,Random Forest,1,0.99609375
5,0.0,SVM (RBF),1,0.9453125
6,0.0,XGBoost,1,0.98046875
7,0.0,MLP,1,0.8515625
8,0.0,Random Forest,2,0.9921875
9,0.0,SVM (RBF),2,0.96484375
10,0.0,XGBoost,2,0.984375
11,0.0,MLP,2,0.88671875
12,0.0,Random Forest,3,0.9921875
13,0.0,SVM (RBF),3,0.984375
14,0.0,XGBoost,3,0.98828125
15,0.0,MLP,3,0.875
16,0.0,Random Forest,4,0.9921875
17,0.0,SVM (RBF),4,0.98828125
18,0.0,XGBoost,4,0.9765625
19,0.0,MLP,4,0.90625
20,0.0,Random Forest,5,0.984375
21,0.0,SVM (RBF),5,0.96484375
22,0.0,XGBoost,5,0.98046875
23,0.0,MLP,5,0.84765625
24,0.0,Random Forest,6,0.98828125
25,0.0,SVM (RBF),6,0.96875
26,0.0,XGBoost,6,0.9765625
27,0.0,MLP,6,0.890625
28,0.0,Random Forest,7,0.9921875
29,0.0,SVM (RBF),7,0.9609375
30,0.0,XGBoost,7,0.97265625
31,0.0,MLP,7,0.88671875
32,0.0,Random Forest,8,0.9765625
33,0.0,SVM (RBF),8,0.96484375
34,0.0,XGBoost,8,0.98828125
35,0.0,MLP,8,0.87890625
36,0.0,Random Forest,9,0.9921875
37,0.0,SVM (RBF),9,0.96484375
38,0.0,XGBoost,9,0.99609375
39,0.0,MLP,9,0.87890625
40,0.005037783375314861,Random Forest,0,0.95703125
41,0.005037783375314861,SVM (RBF),0,0.95703125
42,0.005037783375314861,XGBoost,0,0.984375
43,0.005037783375314861,MLP,0,0.8671875
44,0.005037783375314861,Random Forest,1,0.98828125
45,0.005037783375314861,SVM (RBF),1,0.95703125
46,0.005037783375314861,XGBoost,1,0.984375
47,0.005037783375314861,MLP,1,0.875
48,0.005037783375314861,Random Forest,2,0.984375
49,0.005037783375314861,SVM (RBF),2,0.96484375
50,0.005037783375314861,XGBoost,2,0.984375
51,0.005037783375314861,MLP,2,0.796875
52,0.005037783375314861,Random Forest,3,0.98046875
53,0.005037783375314861,SVM (RBF),3,0.95703125
54,0.005037783375314861,XGBoost,3,0.9921875
55,0.005037783375314861,MLP,3,0.859375
56,0.005037783375314861,Random Forest,4,0.98828125
57,0.005037783375314861,SVM (RBF),4,0.96875
58,0.005037783375314861,XGBoost,4,0.984375
59,0.005037783375314861,MLP,4,0.87109375
60,0.005037783375314861,Random Forest,5,0.984375
61,0.005037783375314861,SVM (RBF),5,0.96875
62,0.005037783375314861,XGBoost,5,0.96875
63,0.005037783375314861,MLP,5,0.42578125
64,0.005037783375314861,Random Forest,6,0.97265625
65,0.005037783375314861,SVM (RBF),6,0.95703125
66,0.005037783375314861,XGBoost,6,0.9765625
67,0.005037783375314861,MLP,6,0.890625
68,0.005037783375314861,Random Forest,7,0.953125
69,0.005037783375314861,SVM (RBF),7,0.9609375
70,0.005037783375314861,XGBoost,7,0.9453125
71,0.005037783375314861,MLP,7,0.87109375
72,0.005037783375314861,Random Forest,8,0.9921875
73,0.005037783375314861,SVM (RBF),8,0.97265625
74,0.005037783375314861,XGBoost,8,0.96875
75,0.005037783375314861,MLP,8,0.84765625
76,0.005037783375314861,Random Forest,9,0.98046875
77,0.005037783375314861,SVM (RBF),9,0.96484375
78,0.005037783375314861,XGBoost,9,0.97265625
79,0.005037783375314861,MLP,9,0.84765625
80,0.010075566750629723,Random Forest,0,0.984375
81,0.010075566750629723,SVM (RBF),0,0.95703125
