,value,group
0,1.0,"RF
Treinamento"
1,1.0,"RF
Treinamento"
2,1.0,"RF
Treinamento"
3,1.0,"RF
Treinamento"
4,1.0,"RF
Treinamento"
5,1.0,"RF
Treinamento"
6,1.0,"RF
Treinamento"
7,1.0,"RF
Treinamento"
8,1.0,"RF
Treinamento"
9,1.0,"RF
Treinamento"
10,1.0,"RF
Treinamento"
11,1.0,"RF
Treinamento"
12,1.0,"RF
Treinamento"
13,1.0,"RF
Treinamento"
14,1.0,"RF
Treinamento"
15,1.0,"RF
Treinamento"
16,1.0,"RF
Treinamento"
17,1.0,"RF
Treinamento"
18,1.0,"RF
Treinamento"
19,1.0,"RF
Treinamento"
20,1.0,"RF
Treinamento"
21,1.0,"RF
Treinamento"
22,1.0,"RF
Treinamento"
23,1.0,"RF
Treinamento"
24,1.0,"RF
Treinamento"
25,1.0,"RF
Treinamento"
26,1.0,"RF
Treinamento"
27,1.0,"RF
Treinamento"
28,1.0,"RF
Treinamento"
29,1.0,"RF
Treinamento"
30,1.0,"RF
Treinamento"
31,1.0,"RF
Treinamento"
32,1.0,"RF
Treinamento"
33,1.0,"RF
Treinamento"
34,1.0,"RF
Treinamento"
35,1.0,"RF
Treinamento"
36,1.0,"RF
Treinamento"
37,1.0,"RF
Treinamento"
38,1.0,"RF
Treinamento"
39,1.0,"RF
Treinamento"
40,1.0,"RF
Treinamento"
41,1.0,"RF
Treinamento"
42,1.0,"RF
Treinamento"
43,1.0,"RF
Treinamento"
44,1.0,"RF
Treinamento"
45,1.0,"RF
Treinamento"
46,1.0,"RF
Treinamento"
47,1.0,"RF
Treinamento"
48,1.0,"RF
Treinamento"
49,1.0,"RF
Treinamento"
50,1.0,"RF
Treinamento"
51,1.0,"RF
Treinamento"
52,1.0,"RF
Treinamento"
53,1.0,"RF
Treinamento"
54,1.0,"RF
Treinamento"
55,1.0,"RF
Treinamento"
56,1.0,"RF
Treinamento"
57,1.0,"RF
Treinamento"
58,1.0,"RF
Treinamento"
59,1.0,"RF
Treinamento"
60,1.0,"RF
Treinamento"
61,1.0,"RF
Treinamento"
62,1.0,"RF
Treinamento"
63,1.0,"RF
Treinamento"
64,1.0,"RF
Treinamento"
65,1.0,"RF
Treinamento"
66,1.0,"RF
Treinamento"
67,1.0,"RF
Treinamento"
