,value,group
0,1.0,"XGB
Treinamento"
1,1.0,"XGB
Treinamento"
2,1.0,"XGB
Treinamento"
3,1.0,"XGB
Treinamento"
4,1.0,"XGB
Treinamento"
5,1.0,"XGB
Treinamento"
6,1.0,"XGB
Treinamento"
7,1.0,"XGB
Treinamento"
8,1.0,"XGB
Treinamento"
9,1.0,"XGB
Treinamento"
10,1.0,"XGB
Treinamento"
11,1.0,"XGB
Treinamento"
12,1.0,"XGB
Treinamento"
13,1.0,"XGB
Treinamento"
14,1.0,"XGB
Treinamento"
15,1.0,"XGB
Treinamento"
16,1.0,"XGB
Treinamento"
17,1.0,"XGB
Treinamento"
18,1.0,"XGB
Treinamento"
19,1.0,"XGB
Treinamento"
20,1.0,"XGB
Treinamento"
21,1.0,"XGB
Treinamento"
22,1.0,"XGB
Treinamento"
23,1.0,"XGB
Treinamento"
24,1.0,"XGB
Treinamento"
25,1.0,"XGB
Treinamento"
26,1.0,"XGB
Treinamento"
27,1.0,"XGB
Treinamento"
28,1.0,"XGB
Treinamento"
29,1.0,"XGB
Treinamento"
30,1.0,"XGB
Treinamento"
31,1.0,"XGB
Treinamento"
32,1.0,"XGB
Treinamento"
33,1.0,"XGB
Treinamento"
34,1.0,"XGB
Treinamento"
35,1.0,"XGB
Treinamento"
36,1.0,"XGB
Treinamento"
37,1.0,"XGB
Treinamento"
38,1.0,"XGB
Treinamento"
39,1.0,"XGB
Treinamento"
40,1.0,"XGB
Treinamento"
41,1.0,"XGB
Treinamento"
42,1.0,"XGB
Treinamento"
43,1.0,"XGB
Treinamento"
44,1.0,"XGB
Treinamento"
45,1.0,"XGB
Treinamento"
46,1.0,"XGB
Treinamento"
47,1.0,"XGB
Treinamento"
48,1.0,"XGB
Treinamento"
49,1.0,"XGB
Treinamento"
50,1.0,"XGB
Treinamento"
51,1.0,"XGB
Treinamento"
52,1.0,"XGB
Treinamento"
53,1.0,"XGB
Treinamento"
54,1.0,"XGB
Treinamento"
55,1.0,"XGB
Treinamento"
56,1.0,"XGB
Treinamento"
57,1.0,"XGB
Treinamento"
58,1.0,"XGB
Treinamento"
59,1.0,"XGB
Treinamento"
60,1.0,"XGB
Treinamento"
61,1.0,"XGB
Treinamento"
62,1.0,"XGB
Treinamento"
63,1.0,"XGB
Treinamento"
64,1.0,"XGB
Treinamento"
65,1.0,"XGB
Treinamento"
66,1.0,"XGB
Treinamento"
67,1.0,"XGB
Treinamento"
68,1.0,"XGB
Treinamento"
69,1.0,"XGB
Treinamento"
70,1.0,"XGB
Treinamento"
71,1.0,"XGB
Treinamento"
72,1.0,"XGB
Treinamento"
73,1.0,"XGB
Treinamento"
74,1.0,"XGB
Treinamento"
75,1.0,"XGB
Treinamento"
76,1.0,"XGB
Treinamento"
77,1.0,"XGB
Treinamento"
78,1.0,"XGB
Treinamento"
79,1.0,"XGB
Treinamento"
80,1.0,"XGB
Treinamento"
81,1.0,"XGB
Treinamento"
82,1.0,"XGB
Treinamento"
83,1.0,"XGB
Treinamento"
84,1.0,"XGB
Treinamento"
85,1.0,"XGB
Treinamento"
86,1.0,"XGB
Treinamento"
87,1.0,"XGB
Treinamento"
88,1.0,"XGB
Treinamento"
89,1.0,"XGB
Treinamento"
90,1.0,"XGB
Treinamento"
91,1.0,"XGB
Treinamento"
92,1.0,"XGB
Treinamento"
93,1.0,"XGB
Treinamento"
94,1.0,"XGB
Treinamento"
95,1.0,"XGB
Treinamento"
96,1.0,"XGB
Treinamento"
97,1.0,"XGB
Treinamento"
98,1.0,"XGB
Treinamento"
99,1.0,"XGB
Treinamento"
