,Noise Level,Classifier,IndexRep,Accuracy
0,0.0,Random Forest,0,0.96875
1,0.0,SVM (RBF),0,0.9609375
2,0.0,XGBoost,0,0.96875
3,0.0,MLP,0,0.89453125
4,0.0,Random Forest,1,0.98828125
5,0.0,SVM (RBF),1,0.9609375
6,0.0,XGBoost,1,0.9765625
7,0.0,MLP,1,0.875
8,0.0,Random Forest,2,0.99609375
9,0.0,SVM (RBF),2,0.9609375
10,0.0,XGBoost,2,0.9765625
11,0.0,MLP,2,0.8671875
12,0.0,Random Forest,3,0.97265625
13,0.0,SVM (RBF),3,0.953125
14,0.0,XGBoost,3,0.96875
15,0.0,MLP,3,0.90234375
16,0.0,Random Forest,4,0.98046875
17,0.0,SVM (RBF),4,0.9453125
18,0.0,XGBoost,4,0.97265625
19,0.0,MLP,4,0.8828125
20,0.0,Random Forest,5,0.9921875
21,0.0,SVM (RBF),5,0.9609375
22,0.0,XGBoost,5,0.9609375
23,0.0,MLP,5,0.671875
24,0.0,Random Forest,6,0.98828125
25,0.0,SVM (RBF),6,0.97265625
26,0.0,XGBoost,6,0.984375
27,0.0,MLP,6,0.765625
28,0.0,Random Forest,7,0.9921875
29,0.0,SVM (RBF),7,0.9609375
30,0.0,XGBoost,7,0.97265625
31,0.0,MLP,7,0.87890625
32,0.0,Random Forest,8,0.99609375
33,0.0,SVM (RBF),8,0.96875
34,0.0,XGBoost,8,0.98046875
35,0.0,MLP,8,0.87109375
36,0.0,Random Forest,9,0.99609375
37,0.0,SVM (RBF),9,0.984375
38,0.0,XGBoost,9,0.98046875
39,0.0,MLP,9,0.875
40,0.0403,Random Forest,0,0.984375
41,0.0403,SVM (RBF),0,0.9609375
42,0.0403,XGBoost,0,0.93359375
43,0.0403,MLP,0,0.80078125
44,0.0403,Random Forest,1,0.97265625
45,0.0403,SVM (RBF),1,0.9375
46,0.0403,XGBoost,1,0.93359375
47,0.0403,MLP,1,0.84375
48,0.0403,Random Forest,2,0.9921875
49,0.0403,SVM (RBF),2,0.94921875
50,0.0403,XGBoost,2,0.953125
51,0.0403,MLP,2,0.734375
52,0.0403,Random Forest,3,0.98046875
53,0.0403,SVM (RBF),3,0.93359375
54,0.0403,XGBoost,3,0.93359375
55,0.0403,MLP,3,0.8125
56,0.0403,Random Forest,4,0.9921875
57,0.0403,SVM (RBF),4,0.953125
58,0.0403,XGBoost,4,0.94140625
59,0.0403,MLP,4,0.87890625
60,0.0403,Random Forest,5,0.98828125
61,0.0403,SVM (RBF),5,0.94921875
62,0.0403,XGBoost,5,0.953125
63,0.0403,MLP,5,0.453125
64,0.0403,Random Forest,6,0.9921875
65,0.0403,SVM (RBF),6,0.96875
66,0.0403,XGBoost,6,0.9609375
67,0.0403,MLP,6,0.85546875
68,0.0403,Random Forest,7,0.97265625
69,0.0403,SVM (RBF),7,0.9453125
70,0.0403,XGBoost,7,0.9453125
71,0.0403,MLP,7,0.8203125
72,0.0403,Random Forest,8,0.9921875
73,0.0403,SVM (RBF),8,0.953125
74,0.0403,XGBoost,8,0.94140625
75,0.0403,MLP,8,0.86328125
76,0.0403,Random Forest,9,0.98046875
77,0.0403,SVM (RBF),9,0.9375
78,0.0403,XGBoost,9,0.9609375
79,0.0403,MLP,9,0.87890625
80,0.0856,Random Forest,0,0.9921875
81,0.0856,SVM (RBF),0,0.91796875
82,0.0856,XGBoost,0,0.91015625
83,0.0856,MLP,0,0.84375
84,0.0856,Random Forest,1,1.0
85,0.0856,SVM (RBF),1,0.93359375
86,0.0856,XGBoost,1,0.93359375
87,0.0856,MLP,1,0.48828125
88,0.0856,Random Forest,2,0.98828125
89,0.0856,SVM (RBF),2,0.921875
90,0.0856,XGBoost,2,0.9453125
91,0.0856,MLP,2,0.77734375
92,0.0856,Random Forest,3,0.984375
93,0.0856,SVM (RBF),3,0.93359375
94,0.0856,XGBoost,3,0.93359375
95,0.0856,MLP,3,0.80078125
96,0.0856,Random Forest,4,0.97265625
97,0.0856,SVM (RBF),4,0.9296875
98,0.0856,XGBoost,4,0.9296875
99,0.0856,MLP,4,0.8828125
100,0.0856,Random Forest,5,0.98046875
101,0.0856,SVM (RBF),5,0.9453125
102,0.0856,XGBoost,5,0.90234375
103,0.0856,MLP,5,0.796875
104,0.0856,Random Forest,6,0.98828125
105,0.0856,SVM (RBF),6,0.94140625
106,0.0856,XGBoost,6,0.9375
107,0.0856,MLP,6,0.828125
108,0.0856,Random Forest,7,0.984375
109,0.0856,SVM (RBF),7,0.9453125
110,0.0856,XGBoost,7,0.9375
111,0.0856,MLP,7,0.48828125
112,0.0856,Random Forest,8,0.96484375
113,0.0856,SVM (RBF),8,0.921875
114,0.0856,XGBoost,8,0.90625
115,0.0856,MLP,8,0.72265625
116,0.0856,Random Forest,9,0.97265625
117,0.0856,SVM (RBF),9,0.91015625
118,0.0856,XGBoost,9,0.91796875
119,0.0856,MLP,9,0.80078125
120,0.131,Random Forest,0,0.98046875
121,0.131,SVM (RBF),0,0.9375
122,0.131,XGBoost,0,0.91015625
123,0.131,MLP,0,0.80859375
124,0.131,Random Forest,1,0.984375
125,0.131,SVM (RBF),1,0.9296875
126,0.131,XGBoost,1,0.87109375
127,0.131,MLP,1,0.79296875
128,0.131,Random Forest,2,0.953125
129,0.131,SVM (RBF),2,0.89453125
130,0.131,XGBoost,2,0.8828125
131,0.131,MLP,2,0.5234375
132,0.131,Random Forest,3,0.98046875
133,0.131,SVM (RBF),3,0.91015625
134,0.131,XGBoost,3,0.8828125
135,0.131,MLP,3,0.81640625
136,0.131,Random Forest,4,0.984375
137,0.131,SVM (RBF),4,0.921875
138,0.131,XGBoost,4,0.89453125
139,0.131,MLP,4,0.76953125
140,0.131,Random Forest,5,0.984375
141,0.131,SVM (RBF),5,0.921875
142,0.131,XGBoost,5,0.9140625
143,0.131,MLP,5,0.734375
144,0.131,Random Forest,6,0.984375
145,0.131,SVM (RBF),6,0.921875
146,0.131,XGBoost,6,0.90625
147,0.131,MLP,6,0.80078125
148,0.131,Random Forest,7,0.98046875
149,0.131,SVM (RBF),7,0.9296875
150,0.131,XGBoost,7,0.8984375
151,0.131,MLP,7,0.7421875
152,0.131,Random Forest,8,0.96875
153,0.131,SVM (RBF),8,0.91015625
154,0.131,XGBoost,8,0.91015625
155,0.131,MLP,8,0.8046875
156,0.131,Random Forest,9,0.9765625
157,0.131,SVM (RBF),9,0.953125
158,0.131,XGBoost,9,0.90625
159,0.131,MLP,9,0.83984375
160,0.1763,Random Forest,0,0.98046875
161,0.1763,SVM (RBF),0,0.93359375
162,0.1763,XGBoost,0,0.90625
163,0.1763,MLP,0,0.57421875
164,0.1763,Random Forest,1,0.97265625
165,0.1763,SVM (RBF),1,0.93359375
166,0.1763,XGBoost,1,0.90234375
167,0.1763,MLP,1,0.78515625
168,0.1763,Random Forest,2,0.99609375
169,0.1763,SVM (RBF),2,0.94921875
170,0.1763,XGBoost,2,0.90625
171,0.1763,MLP,2,0.796875
172,0.1763,Random Forest,3,0.984375
173,0.1763,SVM (RBF),3,0.9296875
174,0.1763,XGBoost,3,0.9375
175,0.1763,MLP,3,0.78515625
176,0.1763,Random Forest,4,0.9609375
177,0.1763,SVM (RBF),4,0.9140625
178,0.1763,XGBoost,4,0.87890625
179,0.1763,MLP,4,0.55859375
180,0.1763,Random Forest,5,0.96875
181,0.1763,SVM (RBF),5,0.890625
182,0.1763,XGBoost,5,0.875
183,0.1763,MLP,5,0.76171875
184,0.1763,Random Forest,6,0.97265625
185,0.1763,SVM (RBF),6,0.91015625
186,0.1763,XGBoost,6,0.89453125
187,0.1763,MLP,6,0.76171875
188,0.1763,Random Forest,7,0.9765625
189,0.1763,SVM (RBF),7,0.87109375
190,0.1763,XGBoost,7,0.88671875
191,0.1763,MLP,7,0.75
192,0.1763,Random Forest,8,0.984375
193,0.1763,SVM (RBF),8,0.87890625
194,0.1763,XGBoost,8,0.8828125
195,0.1763,MLP,8,0.77734375
196,0.1763,Random Forest,9,0.96484375
197,0.1763,SVM (RBF),9,0.890625
198,0.1763,XGBoost,9,0.875
199,0.1763,MLP,9,0.80078125
200,0.2217,Random Forest,0,0.97265625
201,0.2217,SVM (RBF),0,0.8828125
202,0.2217,XGBoost,0,0.8828125
203,0.2217,MLP,0,0.68359375
204,0.2217,Random Forest,1,0.9765625
205,0.2217,SVM (RBF),1,0.875
