,Noise Level,Classifier,IndexRep,Accuracy
0,0.0,Random Forest,0,0.9921875
1,0.0,SVM (RBF),0,0.95703125
2,0.0,XGBoost,0,0.98828125
3,0.0,MLP,0,0.87890625
4,0.0,Random Forest,1,0.98046875
5,0.0,SVM (RBF),1,0.9296875
6,0.0,XGBoost,1,0.98046875
7,0.0,MLP,1,0.8203125
8,0.0,Random Forest,2,0.98828125
9,0.0,SVM (RBF),2,0.96484375
10,0.0,XGBoost,2,0.96875
11,0.0,MLP,2,0.78515625
12,0.0,Random Forest,3,0.98828125
13,0.0,SVM (RBF),3,0.96484375
14,0.0,XGBoost,3,0.97265625
15,0.0,MLP,3,0.85546875
16,0.0,Random Forest,4,0.984375
17,0.0,SVM (RBF),4,0.9609375
18,0.0,XGBoost,4,0.96875
19,0.0,MLP,4,0.8359375
20,0.0,Random Forest,5,0.98828125
21,0.0,SVM (RBF),5,0.9609375
22,0.0,XGBoost,5,0.96484375
23,0.0,MLP,5,0.8984375
24,0.0,Random Forest,6,0.98828125
25,0.0,SVM (RBF),6,0.96875
26,0.0,XGBoost,6,0.984375
27,0.0,MLP,6,0.75390625
28,0.0,Random Forest,7,0.97265625
29,0.0,SVM (RBF),7,0.94921875
30,0.0,XGBoost,7,0.96875
31,0.0,MLP,7,0.84765625
32,0.0,Random Forest,8,0.98046875
33,0.0,SVM (RBF),8,0.95703125
34,0.0,XGBoost,8,0.97265625
35,0.0,MLP,8,0.90625
36,0.0,Random Forest,9,0.98828125
37,0.0,SVM (RBF),9,0.96484375
38,0.0,XGBoost,9,0.984375
39,0.0,MLP,9,0.61328125
40,0.0,Random Forest,0,0.98828125
41,0.0,SVM (RBF),0,0.95703125
42,0.0,XGBoost,0,0.97265625
43,0.0,MLP,0,0.80078125
44,0.0,Random Forest,1,0.98828125
45,0.0,SVM (RBF),1,0.97265625
46,0.0,XGBoost,1,0.984375
47,0.0,MLP,1,0.85546875
48,0.0,Random Forest,2,0.98828125
49,0.0,SVM (RBF),2,0.96875
50,0.0,XGBoost,2,0.96875
51,0.0,MLP,2,0.91015625
52,0.0,Random Forest,3,0.9921875
53,0.0,SVM (RBF),3,0.96484375
54,0.0,XGBoost,3,0.9765625
55,0.0,MLP,3,0.8359375
56,0.0,Random Forest,4,0.9921875
57,0.0,SVM (RBF),4,0.95703125
58,0.0,XGBoost,4,0.98046875
59,0.0,MLP,4,0.84765625
60,0.0,Random Forest,5,0.984375
61,0.0,SVM (RBF),5,0.95703125
62,0.0,XGBoost,5,0.96875
63,0.0,MLP,5,0.87890625
64,0.0,Random Forest,6,0.9921875
65,0.0,SVM (RBF),6,0.96484375
66,0.0,XGBoost,6,0.9765625
67,0.0,MLP,6,0.890625
68,0.0,Random Forest,7,1.0
69,0.0,SVM (RBF),7,0.9765625
70,0.0,XGBoost,7,0.98046875
71,0.0,MLP,7,0.86328125
72,0.0,Random Forest,8,0.984375
73,0.0,SVM (RBF),8,0.953125
74,0.0,XGBoost,8,0.9765625
75,0.0,MLP,8,0.88671875
76,0.0,Random Forest,9,0.99609375
77,0.0,SVM (RBF),9,0.96875
78,0.0,XGBoost,9,0.984375
79,0.0,MLP,9,0.88671875
80,0.005,Random Forest,0,0.9921875
81,0.005,SVM (RBF),0,0.9453125
82,0.005,XGBoost,0,0.9765625
83,0.005,MLP,0,0.875
84,0.005,Random Forest,1,0.98828125
85,0.005,SVM (RBF),1,0.95703125
86,0.005,XGBoost,1,0.9609375
87,0.005,MLP,1,0.8671875
88,0.005,Random Forest,2,0.984375
89,0.005,SVM (RBF),2,0.94921875
90,0.005,XGBoost,2,0.9765625
91,0.005,MLP,2,0.875
92,0.005,Random Forest,3,0.9921875
93,0.005,SVM (RBF),3,0.9765625
94,0.005,XGBoost,3,0.97265625
95,0.005,MLP,3,0.83203125
96,0.005,Random Forest,4,0.9921875
97,0.005,SVM (RBF),4,0.9765625
98,0.005,XGBoost,4,0.97265625
99,0.005,MLP,4,0.8828125
100,0.005,Random Forest,5,0.99609375
101,0.005,SVM (RBF),5,0.9609375
102,0.005,XGBoost,5,0.96484375
103,0.005,MLP,5,0.87890625
104,0.005,Random Forest,6,0.984375
105,0.005,SVM (RBF),6,0.98046875
106,0.005,XGBoost,6,0.98046875
107,0.005,MLP,6,0.89453125
108,0.005,Random Forest,7,0.984375
109,0.005,SVM (RBF),7,0.95703125
110,0.005,XGBoost,7,0.984375
111,0.005,MLP,7,0.87890625
112,0.005,Random Forest,8,0.984375
113,0.005,SVM (RBF),8,0.96875
114,0.005,XGBoost,8,0.98046875
115,0.005,MLP,8,0.875
116,0.005,Random Forest,9,0.9921875
117,0.005,SVM (RBF),9,0.96875
118,0.005,XGBoost,9,0.9765625
119,0.005,MLP,9,0.88671875
120,0.0101,Random Forest,0,0.98828125
121,0.0101,SVM (RBF),0,0.95703125
122,0.0101,XGBoost,0,0.96484375
123,0.0101,MLP,0,0.84765625
124,0.0101,Random Forest,1,0.99609375
125,0.0101,SVM (RBF),1,0.97265625
126,0.0101,XGBoost,1,0.98046875
127,0.0101,MLP,1,0.859375
128,0.0101,Random Forest,2,0.9765625
129,0.0101,SVM (RBF),2,0.94921875
130,0.0101,XGBoost,2,0.97265625
131,0.0101,MLP,2,0.890625
132,0.0101,Random Forest,3,0.99609375
133,0.0101,SVM (RBF),3,0.984375
134,0.0101,XGBoost,3,0.96875
135,0.0101,MLP,3,0.828125
136,0.0101,Random Forest,4,0.98828125
137,0.0101,SVM (RBF),4,0.953125
138,0.0101,XGBoost,4,0.96484375
139,0.0101,MLP,4,0.890625
140,0.0101,Random Forest,5,0.9609375
141,0.0101,SVM (RBF),5,0.94921875
142,0.0101,XGBoost,5,0.96484375
143,0.0101,MLP,5,0.84375
144,0.0101,Random Forest,6,0.98828125
145,0.0101,SVM (RBF),6,0.96875
146,0.0101,XGBoost,6,0.984375
147,0.0101,MLP,6,0.88671875
148,0.0101,Random Forest,7,0.953125
149,0.0101,SVM (RBF),7,0.9453125
150,0.0101,XGBoost,7,0.94921875
151,0.0101,MLP,7,0.8046875
152,0.0101,Random Forest,8,0.98828125
153,0.0101,SVM (RBF),8,0.96484375
154,0.0101,XGBoost,8,0.97265625
155,0.0101,MLP,8,0.875
156,0.0101,Random Forest,9,0.99609375
157,0.0101,SVM (RBF),9,0.96484375
158,0.0101,XGBoost,9,0.97265625
159,0.0101,MLP,9,0.8359375
160,0.0151,Random Forest,0,0.98046875
161,0.0151,SVM (RBF),0,0.9609375
162,0.0151,XGBoost,0,0.96484375
163,0.0151,MLP,0,0.87109375
164,0.0151,Random Forest,1,0.9765625
165,0.0151,SVM (RBF),1,0.96875
166,0.0151,XGBoost,1,0.9453125
167,0.0151,MLP,1,0.8671875
168,0.0151,Random Forest,2,0.984375
169,0.0151,SVM (RBF),2,0.93359375
170,0.0151,XGBoost,2,0.953125
171,0.0151,MLP,2,0.875
172,0.0151,Random Forest,3,0.96484375
173,0.0151,SVM (RBF),3,0.96484375
174,0.0151,XGBoost,3,0.96484375
175,0.0151,MLP,3,0.8828125
176,0.0151,Random Forest,4,0.98828125
177,0.0151,SVM (RBF),4,0.96484375
178,0.0151,XGBoost,4,0.97265625
179,0.0151,MLP,4,0.8671875
180,0.0151,Random Forest,5,0.97265625
181,0.0151,SVM (RBF),5,0.953125
182,0.0151,XGBoost,5,0.96484375
183,0.0151,MLP,5,0.8515625
184,0.0151,Random Forest,6,0.98828125
185,0.0151,SVM (RBF),6,0.95703125
186,0.0151,XGBoost,6,0.96875
187,0.0151,MLP,6,0.87890625
188,0.0151,Random Forest,7,0.98046875
189,0.0151,SVM (RBF),7,0.9609375
190,0.0151,XGBoost,7,0.95703125
191,0.0151,MLP,7,0.87109375
192,0.0151,Random Forest,8,0.98828125
193,0.0151,SVM (RBF),8,0.953125
194,0.0151,XGBoost,8,0.96875
195,0.0151,MLP,8,0.8828125
196,0.0151,Random Forest,9,0.9765625
197,0.0151,SVM (RBF),9,0.96875
198,0.0151,XGBoost,9,0.96875
199,0.0151,MLP,9,0.875
200,0.0202,Random Forest,0,0.98046875
201,0.0202,SVM (RBF),0,0.96875
202,0.0202,XGBoost,0,0.96875
203,0.0202,MLP,0,0.76171875
204,0.0202,Random Forest,1,0.99609375
205,0.0202,SVM (RBF),1,0.95703125
206,0.0202,XGBoost,1,0.953125
207,0.0202,MLP,1,0.84375
208,0.0202,Random Forest,2,0.9921875
209,0.0202,SVM (RBF),2,0.953125
210,0.0202,XGBoost,2,0.953125
211,0.0202,MLP,2,0.76171875
212,0.0202,Random Forest,3,0.9765625
213,0.0202,SVM (RBF),3,0.9375
214,0.0202,XGBoost,3,0.953125
215,0.0202,MLP,3,0.84765625
216,0.0202,Random Forest,4,0.984375
217,0.0202,SVM (RBF),4,0.953125
218,0.0202,XGBoost,4,0.95703125
219,0.0202,MLP,4,0.8125
220,0.0202,Random Forest,5,0.98046875
221,0.0202,SVM (RBF),5,0.94140625
222,0.0202,XGBoost,5,0.97265625
223,0.0202,MLP,5,0.7421875
224,0.0202,Random Forest,6,0.9765625
225,0.0202,SVM (RBF),6,0.94140625
226,0.0202,XGBoost,6,0.94921875
227,0.0202,MLP,6,0.8671875
228,0.0202,Random Forest,7,0.97265625
229,0.0202,SVM (RBF),7,0.9609375
230,0.0202,XGBoost,7,0.95703125
231,0.0202,MLP,7,0.8828125
232,0.0202,Random Forest,8,1.0
233,0.0202,SVM (RBF),8,0.94921875
234,0.0202,XGBoost,8,0.9765625
235,0.0202,MLP,8,0.8203125
236,0.0202,Random Forest,9,0.9921875
237,0.0202,SVM (RBF),9,0.9609375
238,0.0202,XGBoost,9,0.95703125
239,0.0202,MLP,9,0.77734375
240,0.0252,Random Forest,0,0.9921875
241,0.0252,SVM (RBF),0,0.9453125
242,0.0252,XGBoost,0,0.94140625
243,0.0252,MLP,0,0.8671875
244,0.0252,Random Forest,1,0.984375
245,0.0252,SVM (RBF),1,0.9296875
246,0.0252,XGBoost,1,0.94921875
247,0.0252,MLP,1,0.86328125
248,0.0252,Random Forest,2,0.98828125
249,0.0252,SVM (RBF),2,0.96484375
250,0.0252,XGBoost,2,0.96484375
251,0.0252,MLP,2,0.73828125
252,0.0252,Random Forest,3,0.984375
253,0.0252,SVM (RBF),3,0.96484375
254,0.0252,XGBoost,3,0.95703125
255,0.0252,MLP,3,0.90625
256,0.0252,Random Forest,4,0.98046875
257,0.0252,SVM (RBF),4,0.95703125
258,0.0252,XGBoost,4,0.9609375
259,0.0252,MLP,4,0.84765625
260,0.0252,Random Forest,5,0.98046875
261,0.0252,SVM (RBF),5,0.953125
262,0.0252,XGBoost,5,0.9453125
263,0.0252,MLP,5,0.859375
264,0.0252,Random Forest,6,0.96875
265,0.0252,SVM (RBF),6,0.96484375
266,0.0252,XGBoost,6,0.9375
267,0.0252,MLP,6,0.84765625
268,0.0252,Random Forest,7,0.99609375
269,0.0252,SVM (RBF),7,0.9609375
270,0.0252,XGBoost,7,0.96875
271,0.0252,MLP,7,0.83984375
272,0.0252,Random Forest,8,0.98828125
273,0.0252,SVM (RBF),8,0.9453125
274,0.0252,XGBoost,8,0.97265625
275,0.0252,MLP,8,0.859375
276,0.0252,Random Forest,9,0.9921875
277,0.0252,SVM (RBF),9,0.96484375
278,0.0252,XGBoost,9,0.9609375
279,0.0252,MLP,9,0.875
280,0.0302,Random Forest,0,0.98828125
281,0.0302,SVM (RBF),0,0.94921875
282,0.0302,XGBoost,0,0.96875
283,0.0302,MLP,0,0.8671875
284,0.0302,Random Forest,1,0.9921875
285,0.0302,SVM (RBF),1,0.97265625
286,0.0302,XGBoost,1,0.9609375
287,0.0302,MLP,1,0.87109375
288,0.0302,Random Forest,2,0.98828125
289,0.0302,SVM (RBF),2,0.9296875
290,0.0302,XGBoost,2,0.953125
291,0.0302,MLP,2,0.8515625
292,0.0302,Random Forest,3,0.984375
293,0.0302,SVM (RBF),3,0.9609375
294,0.0302,XGBoost,3,0.94921875
295,0.0302,MLP,3,0.84765625
296,0.0302,Random Forest,4,0.984375
297,0.0302,SVM (RBF),4,0.96484375
298,0.0302,XGBoost,4,0.9609375
299,0.0302,MLP,4,0.84375
300,0.0302,Random Forest,5,0.98828125
301,0.0302,SVM (RBF),5,0.9453125
302,0.0302,XGBoost,5,0.953125
303,0.0302,MLP,5,0.78515625
304,0.0302,Random Forest,6,0.98046875
305,0.0302,SVM (RBF),6,0.96875
306,0.0302,XGBoost,6,0.97265625
307,0.0302,MLP,6,0.8671875
308,0.0302,Random Forest,7,0.98828125
309,0.0302,SVM (RBF),7,0.95703125
310,0.0302,XGBoost,7,0.9609375
311,0.0302,MLP,7,0.875
312,0.0302,Random Forest,8,0.98828125
313,0.0302,SVM (RBF),8,0.96875
314,0.0302,XGBoost,8,0.953125
315,0.0302,MLP,8,0.90625
316,0.0302,Random Forest,9,0.98828125
317,0.0302,SVM (RBF),9,0.96875
318,0.0302,XGBoost,9,0.95703125
319,0.0302,MLP,9,0.86328125
320,0.0353,Random Forest,0,0.9765625
321,0.0353,SVM (RBF),0,0.9609375
322,0.0353,XGBoost,0,0.953125
323,0.0353,MLP,0,0.8671875
324,0.0353,Random Forest,1,0.984375
325,0.0353,SVM (RBF),1,0.9375
326,0.0353,XGBoost,1,0.95703125
327,0.0353,MLP,1,0.8671875
328,0.0353,Random Forest,2,0.98046875
329,0.0353,SVM (RBF),2,0.9296875
330,0.0353,XGBoost,2,0.9609375
331,0.0353,MLP,2,0.828125
332,0.0353,Random Forest,3,0.9765625
333,0.0353,SVM (RBF),3,0.94921875
334,0.0353,XGBoost,3,0.96484375
335,0.0353,MLP,3,0.8828125
336,0.0353,Random Forest,4,0.984375
337,0.0353,SVM (RBF),4,0.953125
338,0.0353,XGBoost,4,0.94921875
339,0.0353,MLP,4,0.875
340,0.0353,Random Forest,5,0.99609375
341,0.0353,SVM (RBF),5,0.96875
342,0.0353,XGBoost,5,0.95703125
343,0.0353,MLP,5,0.7890625
344,0.0353,Random Forest,6,0.98046875
345,0.0353,SVM (RBF),6,0.95703125
346,0.0353,XGBoost,6,0.94140625
347,0.0353,MLP,6,0.87109375
348,0.0353,Random Forest,7,0.98828125
349,0.0353,SVM (RBF),7,0.9453125
350,0.0353,XGBoost,7,0.9609375
351,0.0353,MLP,7,0.875
352,0.0353,Random Forest,8,0.96875
353,0.0353,SVM (RBF),8,0.95703125
354,0.0353,XGBoost,8,0.94140625
355,0.0353,MLP,8,0.83984375
356,0.0353,Random Forest,9,0.984375
357,0.0353,SVM (RBF),9,0.97265625
358,0.0353,XGBoost,9,0.96484375
359,0.0353,MLP,9,0.8984375
360,0.0403,Random Forest,0,0.9921875
361,0.0403,SVM (RBF),0,0.97265625
362,0.0403,XGBoost,0,0.96875
363,0.0403,MLP,0,0.8515625
364,0.0403,Random Forest,1,0.9921875
365,0.0403,SVM (RBF),1,0.97265625
366,0.0403,XGBoost,1,0.9609375
367,0.0403,MLP,1,0.83203125
368,0.0403,Random Forest,2,0.984375
