,acuracia,percentualRuidoTreinamento
0,0.99609375,0.000
1,0.99609375,0.000
2,1.0,0.000
3,1.0,0.000
4,1.0,0.000
5,1.0,0.000
6,0.99609375,0.000
7,1.0,0.000
8,1.0,0.000
9,1.0,0.000
10,1.0,0.005
11,0.99609375,0.005
12,0.99609375,0.005
13,1.0,0.005
14,0.9921875,0.005
15,1.0,0.005
16,0.99609375,0.005
17,1.0,0.005
18,0.9921875,0.005
19,0.99609375,0.005
20,1.0,0.010
21,1.0,0.010
22,0.99609375,0.010
23,1.0,0.010
24,0.99609375,0.010
25,1.0,0.010
26,1.0,0.010
27,0.99609375,0.010
28,0.9921875,0.010
29,1.0,0.010
30,1.0,0.015
31,0.99609375,0.015
32,0.99609375,0.015
33,1.0,0.015
34,1.0,0.015
35,0.98828125,0.015
36,1.0,0.015
37,1.0,0.015
38,0.984375,0.015
39,0.9921875,0.015
40,0.99609375,0.020
41,0.99609375,0.020
42,0.99609375,0.020
43,1.0,0.020
44,0.99609375,0.020
45,0.99609375,0.020
46,0.99609375,0.020
47,0.99609375,0.020
48,1.0,0.020
49,0.98828125,0.020
50,0.984375,0.025
51,0.99609375,0.025
52,1.0,0.025
53,1.0,0.025
54,0.98828125,0.025
55,0.98828125,0.025
56,0.99609375,0.025
57,0.98828125,0.025
58,0.99609375,0.025
59,0.99609375,0.025
60,0.99609375,0.030
61,0.99609375,0.030
62,0.98828125,0.030
63,0.98828125,0.030
64,0.9921875,0.030
65,0.98828125,0.030
66,0.9921875,0.030
67,0.99609375,0.030
68,0.99609375,0.030
69,0.9921875,0.030
70,1.0,0.035
71,1.0,0.035
72,0.99609375,0.035
73,0.99609375,0.035
74,0.99609375,0.035
75,0.9921875,0.035
76,1.0,0.035
77,0.98828125,0.035
78,0.99609375,0.035
79,0.99609375,0.035
80,0.984375,0.040
81,0.99609375,0.040
82,0.98828125,0.040
83,0.9921875,0.040
84,0.98828125,0.040
85,1.0,0.040
86,0.9921875,0.040
87,0.984375,0.040
88,0.99609375,0.040
89,0.984375,0.040
