,acuracia,percentualRuidoTreinamento
0,0.99609375,0.000
1,0.98828125,0.000
2,0.98828125,0.000
3,0.984375,0.000
4,0.98828125,0.000
5,0.984375,0.000
6,0.99609375,0.000
7,0.98046875,0.000
8,0.984375,0.000
9,0.9921875,0.000
10,0.984375,0.005
11,0.9921875,0.005
12,0.984375,0.005
13,1.0,0.005
14,0.98828125,0.005
15,0.99609375,0.005
16,0.9921875,0.005
17,0.98828125,0.005
18,0.99609375,0.005
19,0.9921875,0.005
20,0.984375,0.010
21,0.984375,0.010
22,0.98828125,0.010
23,0.99609375,0.010
24,0.984375,0.010
25,0.9765625,0.010
26,0.98828125,0.010
27,1.0,0.010
28,0.9921875,0.010
29,0.98828125,0.010
30,0.98828125,0.015
31,0.98828125,0.015
32,0.98828125,0.015
33,0.96875,0.015
34,0.9921875,0.015
35,0.9921875,0.015
36,0.99609375,0.015
37,0.984375,0.015
38,0.9921875,0.015
39,0.97265625,0.015
40,0.98046875,0.020
41,0.9765625,0.020
42,0.98828125,0.020
43,0.9921875,0.020
44,0.99609375,0.020
45,0.9921875,0.020
46,0.98828125,0.020
47,0.9921875,0.020
48,0.984375,0.020
49,0.98828125,0.020
50,0.98046875,0.025
51,0.99609375,0.025
52,0.9921875,0.025
53,0.99609375,0.025
54,0.99609375,0.025
55,0.9921875,0.025
56,0.99609375,0.025
57,0.98828125,0.025
58,0.96484375,0.025
59,0.98046875,0.025
60,0.984375,0.030
61,0.9765625,0.030
62,0.98828125,0.030
63,0.99609375,0.030
64,1.0,0.030
65,0.98046875,0.030
66,0.98828125,0.030
67,0.9765625,0.030
68,0.9921875,0.030
69,0.98046875,0.030
70,0.99609375,0.040
71,0.97265625,0.040
72,0.99609375,0.040
73,0.9921875,0.040
74,0.9921875,0.040
75,0.9921875,0.040
76,0.99609375,0.040
77,0.98828125,0.040
78,0.99609375,0.040
79,0.99609375,0.040
